Word,Count
the,1396
Act,1159
Assert,1153
Arrange,1153
to,810
/,649
assembly,529
is,426
this,413
of,365
ReSharper,336
an,321
Version,315
following,313
disable,291
for,260
in,242
a,228
set,222
can,221
you,218
type,215
information,215
values,212
attribute,212
Revision,210
Build,210
and,207
ComVisible,206
once,204
COM,204
if,204
</summary>,191
<summary>,191
by,187
code,152
not,141
------------------------------------------------------------------------------,140
with,139
or,137
that,131
project,129
assert,121
on,121
act,120
assemble,119
If,117
all,115
need,114
modify,112
as,111
specify,110
using,110
through,110
The,109
these,108
attributes,108
default,108
four,107
from,107
about,106
You,106
[assembly:,106
shown,106
Major,105
Minor,105
Number,105
values:,105
consists,105
'*',105
associated,105
General,105
below:,105
Information,105
Change,105
controlled,105
Numbers,105
makes,103
access,103
false,103
Setting,103
\COM,\,103
true,103
components,103
visible,103
\AssemblyVersion("\1.0.*"\)]\,102
be,102
ID,101
GUID,101
typelib,101
exposed,101
types,100
no,94
file,91
This,80
start,76
ncrunch:,75
coverage,75
will,72
was,71
regenerated,65
MethodTooLong,65
<auto-generated>,65
behavior,65
incorrect,65
may,65
cause,65
Runtime,65
generated,65
lost,65
</auto-generated>,65
Changes,65
tool,63
todo,61
Version:4.0.30319.42000,59
InitializeComponent,48
new,46
restore,44
TooManyDependencies,43
<param,42
ClassTooBig,39
TooManyArguments,36
-,35
use,31
MaximumChainedReferences,30
line,30
are,28
class,27
we,23
SpecFlow,23
method,21
used,21
CodeAnnotationAnalyzer,21
resource,18
=,17
value,17
*,16
specified,16
should,16
like,16
key,15
string,15
your,14
return,14
resources,14
Required,14
var,13
contents,13
expressed,12
however,12
get,12
you'd,12
copyright,12
implied,12
KeyFile,12
guid,12
Don,12
instance,12
Kackman,12
mailto:dkackman_2000@yahoo.com,12
warranty,12
2003,12
EqualExpressionComparison,12
version,11
into,11
up,11
it,11
being,11
do,10
(*),10
find,10
AddIn,10
remove,10
check,10
other,10
tests,10
any,10
ReturnValueOfPureMethodIsNotUsed,9
PossibleNullReferenceException,9
add,9
For,9
UnusedVariable,9
point,8
task,8
In,8
scheduler,8
KeyName,8
InconsistentNaming,8
already,8
support,8
current,8
more,8
projects,8
updating,8
file</param>,8
variable,7
false.</param>,7
\otherwise,\,7
below,7
process,7
designer,7
editor,7
processing,7
just,7
order,7
sure,7
arguments,7
it's,7
make,7
Clean,7
out,7
event,7
hook,7
name,7
UnusedParameter.Local,7
Designer,7
\name="\disposing"\>true\,7
thread,7
managed,7
executed,7
disposed;,7
\Line1-Start,\,6
items,6
which,6
when,6
classes,6
Class,6
Line,6
necessary,6
+,6
testing,6
sign,6
existing,6
Line2-End,6
Copyright,6
test,6
<returns>The,6
located,6
application,6
format,6
package,6
each,6
translated,6
ensures,6
Line1-End,6
exception,6
module,6
properties,6
found,6
\name="\file"\>the\,6
See,6
Runner,5
NUnit,5
better,5
specific,5
Microsoft,5
have,5
*nunit-console-x86.exe*,5
*nunit-console.exe*,5
interested,5
ExcessiveIndentation,5
create,5
fired,5
replace,5
[AfterTestRun],5
here,5
how,5
<see,5
executing,5
has,5
{,5
also:,5
