File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Aco\NuGet.Selkie.Aco\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\AntSettings.cs,48,40,21,3,8,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\BestTrailChangedEventArgs.cs,19,15,11,0,2,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\BestTrailFinder.cs,137,116,64,8,20,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Colony.cs,525,423,220,30,94,3,8,53,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\ColonyLogger.cs,104,86,46,2,18,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\FinishedEventArgs.cs,14,10,6,0,2,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\GlobalSuppressions.cs,1668,1656,1,0,3,1,9,88,0,16
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Installer.cs,10,9,4,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\LogTrailBuilderInformation.cs,69,62,30,5,7,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\NaturalSelection.cs,121,106,57,10,14,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\PheromonesInformation.cs,13,11,6,0,1,1,1,6,0,3
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Queen.cs,236,196,98,12,38,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Squad.cs,192,161,87,10,29,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\IBestTrailFinder.cs,26,20,12,0,6,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\IColony.cs,55,41,31,0,12,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\IColonyLogger.cs,13,12,8,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\INaturalSelection.cs,13,11,6,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\IQueen.cs,36,25,16,0,11,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces\ISquad.cs,20,16,11,0,4,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IAntSettingsFactory.cs,15,13,7,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IBestTrailFinderFactory.cs,18,16,8,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IColonyFactory.cs,16,14,8,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IDistanceGraphFactory.cs,15,13,7,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\INaturalSelectionFactory.cs,15,13,7,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IPheromonesTrackerFactory.cs,15,13,7,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\IQueenFactory.cs,19,17,8,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories\ISquadFactory.cs,19,17,8,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\AntSettingsTests.cs,72,46,20,0,10,0,16,19,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\BestTrailFinderTests.cs,539,438,189,6,71,0,30,30,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\ColonyLoggerTests.cs,137,92,45,0,24,0,21,21,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\ColonyTests.cs,1607,1179,524,12,263,0,165,227,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\GlobalSuppressions.cs,27,27,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\NaturalSelectionTests.cs,373,284,147,6,56,0,33,33,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\QueenTests.cs,699,506,277,12,116,0,77,105,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\SquadTests.cs,481,395,187,7,85,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestAntFactory.cs,127,110,46,5,11,0,6,22,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestBestTrailFinderFactory.cs,35,31,14,1,4,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestChromosomeFactory.cs,46,43,11,2,3,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestNaturalSelectionFactory.cs,23,20,10,1,3,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestQueenFactory.cs,78,71,35,1,7,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TestTrailBuilderFactory.cs,104,87,37,4,11,0,6,24,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\TrailInformationTests.cs,71,53,29,0,9,0,9,9,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\BaseAnt.cs,129,107,52,5,19,1,3,15,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\CandidateListAnt.cs,37,33,10,0,2,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Chromosome.cs,362,297,151,31,58,2,7,35,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Crossover.cs,191,160,76,20,30,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\FixedAnt.cs,45,39,12,0,4,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Installer.cs,30,27,13,0,2,0,1,3,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\StandardAnt.cs,35,33,10,0,1,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\UnknownAnt.cs,49,44,14,1,4,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces\ICandidateListAnt.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces\ICrossOver.cs,16,14,7,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces\IFixedAnt.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces\IStandardAnt.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces\IUnknownAnt.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\BaseAntTests.cs,343,274,112,0,50,0,19,27,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\CandidateListAntTests.cs,276,211,98,1,38,0,27,35,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\ChromosomeTests.cs,318,272,94,0,46,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\CrossoverTests.cs,277,234,94,2,39,0,4,13,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\FixedAntTests.cs,286,222,98,1,36,0,28,37,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\NearestNeighboursTests.cs,230,198,83,0,32,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\StandardAntTests.cs,283,216,100,1,41,0,26,32,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\TestTrailBuilderFactory.cs,104,87,37,4,11,0,6,24,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\UnknownAntTests.cs,276,212,94,1,35,0,29,35,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\DistanceGraph.cs,387,311,169,47,75,0,1,7,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\InitializeInformation.cs,12,12,8,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Installer.cs,10,9,4,0,1,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\NearestNeighbours.cs,95,76,42,8,19,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Pheromones.cs,163,136,70,17,27,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\PheromonesTracker.cs,195,172,85,15,23,2,0,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Settings.cs,108,94,47,7,14,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IAnt.cs,25,19,11,0,6,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IAntFactory.cs,20,17,7,0,2,0,1,4,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IAntSettings.cs,9,9,5,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IChromosome.cs,28,25,19,0,3,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IDistanceGraph.cs,27,21,15,0,6,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\INearestNeighbours.cs,15,12,7,0,3,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IOptimizer.cs,15,12,6,0,2,0,1,3,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IPheromones.cs,27,20,10,0,7,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\IPheromonesTracker.cs,23,19,13,0,4,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\ISettings.cs,16,14,9,0,2,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces\ITrailBuilder.cs,30,23,13,0,7,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\TypedFactories\IChromosomeFactory.cs,30,25,8,0,3,0,2,6,0,0
