Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1534,128110,101126,46832,2706,19268,79,7716,25134,72,218
C:\Development\Selkie,1534,128110,101126,46832,2706,19268,79,7716,25134,72,218
C:\Development\Selkie\Aco,132,19206,15718,6446,476,2602,19,886,2583,0,19
C:\Development\Selkie\Aco\NuGet.Selkie.Aco,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\NuGet.Selkie.Aco\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\NuGet.Selkie.Aco\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\NuGet.Selkie.Aco\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill,28,3492,3148,798,80,297,5,47,305,0,19
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests,16,4458,3396,1573,57,681,0,381,614,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Interfaces,6,163,125,84,0,36,0,2,6,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\TypedFactories,8,132,116,60,0,16,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Anthill\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants,14,967,798,360,57,134,3,35,197,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests,10,2432,1940,812,10,336,0,156,323,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Interfaces,5,48,42,19,0,6,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Ants\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common,21,1303,1063,560,94,216,2,24,153,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common.Tests,6,1807,1535,557,13,213,2,59,177,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Interfaces,11,235,191,115,0,42,0,2,7,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\TypedFactories,2,57,46,17,0,7,0,4,13,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Example,4,218,166,82,3,35,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Example\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Example\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Example\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails,21,1687,1374,655,150,261,7,52,318,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests,11,2803,2284,1047,12,421,0,98,256,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\Optimizers,1,263,225,89,1,38,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Interfaces,8,92,78,38,0,14,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Optimizers,2,112,89,51,9,18,2,5,53,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop,44,2610,1930,1022,37,420,1,260,898,0,0
C:\Development\Selkie\Aop\NuGet.Selkie.Aop,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\NuGet.Selkie.Aop\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop,21,683,563,298,20,101,1,19,138,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example,4,192,143,75,2,32,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data,5,155,114,52,3,24,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests,12,1500,1080,592,12,247,0,173,280,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects,6,820,602,347,10,133,0,85,85,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Messages,1,59,51,21,0,8,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects,12,496,421,229,12,73,0,2,8,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Messages,3,30,28,13,0,2,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common,28,773,611,274,17,109,1,53,373,0,0
C:\Development\Selkie\Common\NuGet.Selkie.Common,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\NuGet.Selkie.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\NuGet.Selkie.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common\NuGet.Selkie.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common,18,511,425,190,16,68,1,18,130,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples,9,223,172,82,1,33,0,18,123,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces,7,92,78,40,0,14,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\Selkie.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ,53,2823,2177,1074,77,428,1,218,848,0,0
C:\Development\Selkie\EasyNetQ\NuGet.Selkie.EasyNetQ,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\NuGet.Selkie.EasyNetQ\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\NuGet.Selkie.EasyNetQ\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\NuGet.Selkie.EasyNetQ\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ,32,1392,1163,580,67,185,1,44,365,0,0
